system time	LC	op	qsize	received from
20:27:03.779000	1	17	0	0
20:27:03.946000	2	37	0	0
20:27:04.113000	3	37	0	0
20:27:04.281000	4	32	0	0
20:27:04.447000	5	33	0	0
20:27:04.613000	6	2	0	0
20:27:04.780000	7	14	0	0
20:27:04.948000	8	26	0	0
20:27:05.115000	9	9	0	0
20:27:05.282000	10	26	0	0
20:27:05.450000	11	7	0	0
20:27:05.617000	12	46	0	0
20:27:05.785000	13	0	0	1002
20:27:05.951000	14	10	0	0
20:27:06.119000	15	38	0	0
20:27:06.286000	16	15	0	0
20:27:06.454000	17	0	0	1002
20:27:06.621000	18	18	0	0
20:27:06.789000	19	0	0	1002
20:27:06.956000	20	22	0	0
20:27:07.123000	21	1	0	0
20:27:07.290000	22	38	0	0
20:27:07.457000	23	12	0	0
20:27:07.625000	24	6	0	0
20:27:07.792000	25	43	0	0
20:27:07.959000	26	18	0	0
20:27:08.125000	27	45	0	0
20:27:08.292000	28	35	0	0
20:27:08.459000	29	46	0	0
20:27:08.626000	30	30	0	0
20:27:08.793000	31	35	0	0
20:27:08.959000	32	6	0	0
20:27:09.126000	33	1	0	0
20:27:09.292000	34	40	0	0
20:27:09.458000	35	23	0	0
20:27:09.624000	36	41	0	0
20:27:09.792000	37	26	0	0
20:27:09.960000	38	30	0	0
20:27:10.126000	39	17	0	0
20:27:10.293000	40	7	0	0
20:27:10.461000	41	29	0	0
20:27:10.629000	42	43	0	0
20:27:10.796000	43	9	0	0
20:27:10.963000	44	45	0	0
20:27:11.130000	45	27	0	0
20:27:11.296000	46	47	0	0
20:27:11.464000	47	21	0	0
20:27:11.631000	48	38	0	0
20:27:11.798000	49	40	0	0
20:27:11.966000	50	45	0	0
20:27:12.133000	51	28	0	0
20:27:12.300000	52	34	0	0
20:27:12.468000	53	30	0	0
20:27:12.634000	54	34	0	0
20:27:12.801000	55	29	0	0
20:27:12.968000	56	10	0	0
20:27:13.135000	57	37	0	0
20:27:13.303000	58	18	0	0
20:27:13.470000	59	23	0	0
20:27:13.637000	60	37	0	0
20:27:13.803000	61	5	0	0
20:27:13.970000	62	2	0	0
20:27:14.137000	63	47	0	0
20:27:14.304000	64	42	0	0
20:27:14.471000	65	20	0	0
20:27:14.638000	66	46	0	0
20:27:14.805000	67	34	0	0
20:27:14.972000	68	34	0	0
20:27:15.139000	69	49	0	0
20:27:15.306000	70	35	0	0
20:27:15.474000	71	32	0	0
20:27:15.641000	72	15	0	0
20:27:15.808000	73	27	0	0
20:27:15.975000	74	23	0	0
20:27:16.143000	75	19	0	0
20:27:16.310000	76	25	0	0
20:27:16.477000	77	8	0	0
20:27:16.644000	78	4	0	0
20:27:16.811000	79	19	0	0
20:27:16.978000	80	9	0	0
20:27:17.145000	81	18	0	0
20:27:17.312000	82	32	0	0
20:27:17.479000	83	40	0	0
20:27:17.645000	84	48	0	0
20:27:17.812000	85	40	0	0
20:27:17.980000	86	50	0	0
20:27:18.147000	87	30	0	0
20:27:18.313000	88	25	0	0
20:27:18.480000	89	34	0	0
20:27:18.647000	90	7	0	0
20:27:18.813000	91	42	0	0
20:27:18.980000	92	29	0	0
20:27:19.146000	93	4	0	0
20:27:19.312000	94	17	0	0
20:27:19.479000	95	27	0	0
20:27:19.645000	96	13	0	0
20:27:19.812000	97	26	0	0
20:27:19.979000	98	24	0	0
20:27:20.146000	99	39	0	0
20:27:20.313000	100	16	0	0
20:27:20.480000	101	36	0	0
20:27:20.646000	102	33	0	0
20:27:20.813000	103	20	0	0
20:27:20.979000	104	7	0	0
20:27:21.147000	105	38	0	0
20:27:21.313000	106	42	0	0
20:27:21.480000	107	27	0	0
20:27:21.646000	108	7	0	0
20:27:21.813000	109	9	0	0
20:27:21.980000	110	23	0	0
20:27:22.148000	111	9	0	0
20:27:22.315000	112	34	0	0
20:27:22.481000	113	42	0	0
20:27:22.648000	114	6	0	0
20:27:22.815000	115	15	0	0
20:27:22.982000	116	45	0	0
20:27:23.149000	117	46	0	0
20:27:23.316000	118	34	0	0
20:27:23.483000	119	42	0	0
20:27:23.650000	120	48	0	0
20:27:23.817000	121	8	0	0
20:27:23.985000	122	7	0	0
20:27:24.153000	123	8	0	0
20:27:24.319000	124	32	0	0
20:27:24.486000	125	48	0	0
20:27:24.653000	126	12	0	0
20:27:24.820000	127	34	0	0
20:27:24.987000	128	17	0	0
20:27:25.154000	129	32	0	0
20:27:25.320000	130	0	0	1001
20:27:25.487000	131	39	0	0
20:27:25.654000	132	40	0	0
20:27:25.821000	133	9	0	0
20:27:25.987000	134	18	0	0
20:27:26.154000	135	42	0	0
20:27:26.320000	136	35	0	0
20:27:26.488000	137	3	0	0
20:27:26.655000	138	24	0	0
20:27:26.821000	139	27	0	0
20:27:26.989000	140	7	0	0
20:27:27.156000	141	8	0	0
20:27:27.324000	142	41	0	0
20:27:27.491000	143	45	0	0
20:27:27.658000	144	46	0	0
20:27:27.825000	145	43	0	0
20:27:27.992000	146	6	0	0
20:27:28.159000	147	16	0	0
20:27:28.325000	148	36	0	0
20:27:28.493000	149	32	0	0
20:27:28.661000	150	28	0	0
20:27:28.828000	151	5	0	0
20:27:28.995000	152	8	0	0
20:27:29.163000	153	3	0	0
20:27:29.329000	154	45	0	0
20:27:29.497000	155	3	0	0
20:27:29.664000	156	38	0	0
20:27:29.831000	157	15	0	0
20:27:29.998000	158	8	0	0
20:27:30.165000	159	48	0	0
20:27:30.332000	160	2	0	0
20:27:30.498000	161	22	0	0
20:27:30.666000	162	49	0	0
20:27:30.833000	163	28	0	0
20:27:30.999000	164	18	0	0
20:27:31.165000	165	7	0	0
20:27:31.331000	166	4	0	0
20:27:31.499000	167	49	0	0
20:27:31.665000	168	45	0	0
20:27:31.831000	169	30	0	0
20:27:31.997000	170	8	0	0
20:27:32.164000	171	14	0	0
20:27:32.331000	172	19	0	0
20:27:32.498000	173	15	0	0
20:27:32.665000	174	24	0	0
20:27:32.832000	175	7	0	0
20:27:32.998000	176	46	0	0
20:27:33.165000	177	34	0	0
20:27:33.332000	178	15	0	0
20:27:33.499000	179	27	0	0
20:27:33.666000	180	48	0	0
20:27:33.832000	181	30	0	0
20:27:33.999000	182	25	0	0
20:27:34.166000	183	46	0	0
20:27:34.334000	184	31	0	0
20:27:34.501000	185	11	0	0
20:27:34.667000	186	35	0	0
20:27:34.834000	187	32	0	0
20:27:35.001000	188	12	0	0
20:27:35.168000	189	7	0	0
20:27:35.335000	190	45	0	0
20:27:35.501000	191	29	0	0
20:27:35.669000	192	35	0	0
20:27:35.835000	193	8	0	0
20:27:36.003000	194	19	0	0
20:27:36.170000	195	11	0	0
20:27:36.337000	196	46	0	0
20:27:36.504000	197	48	0	0
20:27:36.672000	198	16	0	0
20:27:36.839000	199	31	0	0
20:27:37.006000	200	0	0	1002
20:27:37.173000	201	34	0	0
20:27:37.340000	202	21	0	0
20:27:37.507000	203	25	0	0
20:27:37.675000	204	50	0	0
20:27:37.841000	205	15	0	0
20:27:38.008000	206	7	0	0
20:27:38.175000	207	12	0	0
20:27:38.341000	208	47	0	0
20:27:38.508000	209	2	0	0
20:27:38.674000	210	16	0	0
20:27:38.842000	211	23	0	0
20:27:39.009000	212	7	0	0
