system time	LC	op	qsize	received from
20:22:51.043000	1	6	0	0
20:22:51.244000	2	0	1	1000
20:22:51.446000	3	0	0	1000
20:22:51.647000	4	3	0	0
20:22:51.848000	5	10	0	0
20:22:52.049000	6	5	0	0
20:22:52.250000	7	6	0	0
20:22:52.450000	8	0	0	1002
20:22:52.651000	9	4	0	0
20:22:52.852000	10	3	0	0
20:22:53.053000	11	3	0	0
20:22:53.255000	12	7	0	0
20:22:53.456000	13	6	0	0
20:22:53.657000	14	5	0	0
20:22:53.858000	15	3	0	0
20:22:54.060000	16	0	0	1002
20:22:54.262000	17	3	0	0
20:22:54.463000	18	4	0	0
20:22:54.663000	19	2	0	0
20:22:54.864000	20	0	0	1000
20:22:55.066000	21	6	0	0
20:22:55.268000	22	4	0	0
20:22:55.469000	23	0	1	1000
20:22:55.670000	24	0	1	1002
20:22:55.871000	25	0	0	1002
20:22:56.071000	26	4	0	0
20:22:56.272000	27	4	0	0
20:22:56.473000	28	10	0	0
20:22:56.675000	29	0	0	1002
20:22:56.877000	30	8	0	0
20:22:57.077000	31	4	0	0
20:22:57.279000	32	3	0	0
20:22:57.480000	33	0	0	1002
20:22:57.682000	34	4	0	0
20:22:57.882000	35	0	0	1000
20:22:58.084000	36	10	0	0
20:22:58.285000	37	4	0	0
20:22:58.485000	38	0	0	1002
20:22:58.686000	39	3	0	0
20:22:58.888000	40	6	0	0
20:22:59.089000	41	2	0	0
20:22:59.289000	42	1	1	0
20:22:59.490000	43	0	0	1000
20:22:59.691000	44	8	0	0
20:22:59.892000	45	7	0	0
20:23:00.093000	46	8	0	0
20:23:00.294000	47	1	1	0
20:23:00.496000	48	0	0	1000
20:23:00.697000	49	7	0	0
20:23:00.899000	50	9	0	0
20:23:01.100000	51	0	0	1002
20:23:01.301000	52	9	0	0
20:23:01.502000	53	3	0	0
20:23:01.703000	54	8	0	0
20:23:01.904000	55	10	0	0
20:23:02.105000	56	0	0	1000
20:23:02.307000	57	7	0	0
20:23:02.509000	58	0	0	1000
20:23:02.710000	59	0	0	1002
20:23:02.910000	60	7	0	0
20:23:03.111000	61	8	0	0
20:23:03.311000	62	0	1	1002
20:23:03.512000	63	0	0	1000
20:23:03.712000	64	0	0	1002
20:23:03.913000	65	7	0	0
20:23:04.114000	66	1	0	0
20:23:04.315000	67	2	0	0
20:23:04.516000	68	10	0	0
20:23:04.717000	69	2	1	0
20:23:04.918000	70	0	0	1000
