system time	LC	op	qsize	received from
20:25:16.592000	1	3	1	0
20:25:16.926000	2	0	0	1001
20:25:17.259000	3	0	0	1001
20:25:17.594000	5	0	0	1001
20:25:17.928000	8	0	0	1001
20:25:18.261000	9	3	0	0
20:25:18.595000	11	0	0	1001
20:25:18.929000	13	0	0	1001
20:25:19.263000	15	0	1	1001
20:25:19.597000	16	0	2	1001
20:25:19.931000	17	0	1	1001
20:25:20.265000	18	0	1	1001
20:25:20.598000	21	0	1	1001
20:25:20.931000	23	0	1	1001
20:25:21.264000	25	0	2	1001
20:25:21.599000	27	0	1	1001
20:25:21.932000	28	0	1	1001
20:25:22.267000	31	0	2	1001
20:25:22.601000	33	0	2	1001
20:25:22.934000	34	0	2	1001
20:25:23.269000	36	0	2	1001
20:25:23.603000	38	0	3	1001
20:25:23.938000	39	0	3	1001
20:25:24.272000	41	0	3	1001
20:25:24.606000	42	0	3	1001
20:25:24.941000	44	0	4	1001
20:25:25.275000	45	0	4	1001
20:25:25.610000	47	0	3	1001
20:25:25.944000	49	0	4	1001
20:25:26.278000	51	0	4	1001
20:25:26.612000	53	0	5	1001
20:25:26.945000	56	0	6	1001
20:25:27.280000	57	0	6	1001
20:25:27.614000	59	0	6	1001
20:25:27.949000	60	0	6	1001
20:25:28.283000	61	0	5	1001
20:25:28.617000	62	0	6	1001
20:25:28.951000	63	0	6	1001
20:25:29.286000	65	0	5	1001
20:25:29.620000	67	0	4	1001
20:25:29.954000	68	0	3	1001
20:25:30.288000	72	0	3	1001
20:25:30.622000	73	0	4	1001
20:25:30.956000	75	0	5	1001
20:25:31.290000	82	0	4	1001
20:25:31.624000	84	0	4	1001
20:25:31.958000	85	0	4	1001
20:25:32.292000	86	0	5	1001
20:25:32.626000	87	0	5	1001
20:25:32.960000	90	0	4	1001
20:25:33.294000	93	0	3	1001
20:25:33.628000	94	0	3	1001
20:25:33.963000	95	0	3	1001
20:25:34.298000	97	0	3	1001
20:25:34.632000	103	0	4	1001
20:25:34.966000	105	0	4	1001
20:25:35.301000	106	0	4	1001
20:25:35.635000	108	0	3	1001
20:25:35.969000	109	0	3	1001
20:25:36.303000	110	0	3	1001
20:25:36.636000	112	0	4	1001
20:25:36.969000	116	0	5	1001
20:25:37.303000	118	0	5	1001
20:25:37.637000	120	0	5	1001
20:25:37.971000	121	0	5	1001
20:25:38.305000	122	0	6	1001
20:25:38.639000	123	0	6	1001
20:25:38.972000	124	0	5	1001
20:25:39.306000	127	0	4	1001
20:25:39.640000	129	0	5	1001
20:25:39.974000	130	0	5	1001
20:25:40.309000	131	0	6	1001
20:25:40.643000	132	0	6	1001
20:25:40.976000	138	0	5	1001
20:25:41.311000	139	0	6	1001
20:25:41.645000	140	0	6	1001
20:25:41.979000	142	0	6	1001
20:25:42.313000	143	0	5	1001
20:25:42.647000	145	0	5	1001
20:25:42.980000	148	0	5	1001
20:25:43.315000	149	0	4	1001
20:25:43.648000	151	0	5	1001
20:25:43.982000	153	0	6	1001
20:25:44.316000	156	0	6	1001
20:25:44.650000	159	0	7	1001
20:25:44.983000	162	0	7	1001
20:25:45.316000	163	0	8	1001
20:25:45.651000	164	0	7	1001
20:25:45.984000	165	0	7	1001
20:25:46.318000	167	0	8	1001
20:25:46.652000	168	0	9	1001
20:25:46.986000	169	0	9	1001
20:25:47.320000	170	0	9	1001
20:25:47.654000	172	0	8	1001
20:25:47.989000	173	0	8	1001
20:25:48.323000	176	0	9	1001
20:25:48.657000	178	0	10	1001
20:25:48.991000	179	0	11	1001
20:25:49.324000	180	0	11	1001
20:25:49.658000	181	0	12	1001
20:25:49.992000	183	0	13	1001
20:25:50.325000	185	0	14	1001
20:25:50.659000	189	0	15	1001
20:25:50.993000	190	0	15	1001
20:25:51.327000	191	0	14	1001
20:25:51.660000	192	0	13	1001
20:25:51.994000	193	0	14	1001
20:25:52.328000	194	0	13	1001
20:25:52.662000	195	0	13	1001
20:25:52.996000	196	0	13	1001
20:25:53.330000	198	0	13	1001
20:25:53.664000	199	0	12	1001
20:25:53.998000	200	0	12	1001
20:25:54.331000	201	0	12	1001
20:25:54.665000	202	0	12	1001
20:25:54.998000	203	0	13	1001
20:25:55.331000	204	0	13	1001
20:25:55.666000	205	0	13	1001
20:25:56.000000	207	0	13	1001
20:25:56.333000	212	0	13	1001
20:25:56.668000	213	0	12	1001
20:25:57.003000	216	0	12	1001
20:25:57.337000	219	0	12	1001
20:25:57.671000	221	0	13	1001
20:25:58.004000	224	0	13	1001
20:25:58.339000	226	0	14	1001
20:25:58.673000	229	0	15	1001
20:25:59.007000	230	0	16	1001
20:25:59.342000	231	0	16	1001
20:25:59.675000	233	0	17	1001
20:26:00.009000	235	0	17	1001
20:26:00.343000	236	0	17	1001
20:26:00.676000	239	0	17	1001
20:26:01.010000	243	0	17	1001
20:26:01.345000	244	0	16	1001
20:26:01.680000	246	0	15	1001
20:26:02.014000	247	0	15	1001
20:26:02.348000	249	0	15	1001
20:26:02.682000	250	0	16	1001
20:26:03.015000	251	0	17	1001
20:26:03.349000	252	0	18	1001
20:26:03.683000	253	0	18	1001
20:26:04.017000	254	0	19	1001
20:26:04.352000	255	0	19	1001
20:26:04.686000	257	0	19	1001
20:26:05.020000	258	0	19	1001
20:26:05.354000	259	0	20	1001
20:26:05.688000	261	0	19	1001
20:26:06.021000	263	0	20	1001
20:26:06.356000	264	0	21	1001
20:26:06.690000	267	0	20	1001
20:26:07.023000	272	0	21	1001
20:26:07.358000	274	0	20	1001
20:26:07.691000	276	0	21	1001
20:26:08.024000	277	0	21	1001
20:26:08.358000	278	0	21	1001
20:26:08.692000	279	0	20	1001
20:26:09.027000	280	0	20	1001
20:26:09.361000	281	0	20	1001
20:26:09.695000	283	0	19	1001
20:26:10.028000	284	0	20	1001
20:26:10.362000	285	0	21	1001
20:26:10.697000	286	0	22	1001
20:26:11.030000	289	0	23	1001
20:26:11.365000	290	0	24	1001
20:26:11.699000	292	0	24	1001
20:26:12.033000	293	0	24	1001
20:26:12.367000	296	0	24	1001
20:26:12.702000	297	0	23	1001
20:26:13.035000	298	0	22	1001
20:26:13.369000	299	0	21	1001
20:26:13.702000	302	0	22	1001
20:26:14.036000	303	0	21	1001
20:26:14.370000	306	0	20	1001
20:26:14.704000	307	0	21	1001
20:26:15.037000	308	0	21	1001
20:26:15.371000	310	0	22	1001
20:26:15.706000	314	0	21	1001
20:26:16.039000	316	0	22	1001
20:26:16.373000	320	0	21	1001
