system time	LC	op	qsize	received from
19:08:16.675000	1	6	0	0
19:08:16.926000	2	0	0	1000
19:08:17.177000	3	0	1	1001
19:08:17.428000	4	0	0	1000
19:08:17.680000	5	9	1	0
19:08:17.931000	6	0	0	1000
19:08:18.181000	7	4	0	0
19:08:18.432000	8	0	0	1000
19:08:18.684000	9	2	0	0
19:08:18.935000	10	4	0	0
19:08:19.186000	11	6	0	0
19:08:19.437000	12	2	0	0
19:08:19.688000	13	0	0	1000
19:08:19.940000	14	1	0	0
19:08:20.191000	15	7	0	0
19:08:20.443000	16	6	0	0
19:08:20.694000	17	0	0	1000
19:08:20.946000	18	0	0	1001
19:08:21.197000	19	1	0	0
19:08:21.448000	20	0	0	1001
19:08:21.699000	21	10	0	0
19:08:21.950000	22	0	0	1001
19:08:22.201000	23	5	0	0
19:08:22.452000	24	10	0	0
19:08:22.702000	25	1	0	0
19:08:22.953000	26	0	0	1001
19:08:23.204000	27	0	0	1001
19:08:23.455000	28	0	0	1000
19:08:23.706000	29	6	0	0
19:08:23.956000	30	8	0	0
19:08:24.208000	31	3	0	0
19:08:24.459000	32	3	0	0
19:08:24.710000	33	3	0	0
19:08:24.962000	34	7	0	0
19:08:25.213000	35	10	0	0
19:08:25.464000	36	10	0	0
19:08:25.714000	37	7	0	0
19:08:25.965000	38	1	0	0
19:08:26.215000	39	4	0	0
19:08:26.466000	40	3	0	0
19:08:26.717000	41	5	0	0
19:08:26.968000	42	1	0	0
19:08:27.220000	43	0	0	1001
19:08:27.470000	44	8	0	0
19:08:27.720000	45	8	0	0
19:08:27.972000	46	0	0	1001
19:08:28.224000	47	10	0	0
19:08:28.474000	48	0	0	1000
19:08:28.725000	49	7	0	0
19:08:28.976000	50	10	0	0
19:08:29.227000	51	5	0	0
19:08:29.478000	52	5	0	0
19:08:29.730000	53	6	0	0
19:08:29.981000	54	0	0	1001
19:08:30.232000	55	0	0	1000
19:08:30.483000	56	1	0	0
19:08:30.733000	57	2	0	0
19:08:30.984000	58	2	0	0
19:08:31.235000	59	7	0	0
19:08:31.487000	60	5	0	0
19:08:31.738000	61	1	0	0
19:08:31.989000	62	2	0	0
19:08:32.239000	63	4	0	0
19:08:32.490000	64	0	0	1001
19:08:32.741000	65	9	0	0
19:08:32.992000	66	2	0	0
19:08:33.243000	67	10	0	0
19:08:33.493000	68	4	0	0
19:08:33.745000	69	0	0	1001
19:08:33.996000	70	7	0	0
19:08:34.247000	71	4	0	0
19:08:34.497000	72	0	0	1001
19:08:34.748000	73	0	0	1000
19:08:35.000000	74	0	0	1001
19:08:35.251000	75	8	0	0
19:08:35.502000	76	0	0	1000
19:08:35.753000	77	0	0	1000
19:08:36.003000	78	3	0	0
19:08:36.253000	79	10	0	0
19:08:36.504000	80	6	0	0
19:08:36.755000	81	0	0	1001
19:08:37.006000	82	4	0	0
19:08:37.257000	83	1	0	0
19:08:37.508000	84	1	0	0
19:08:37.759000	85	3	0	0
19:08:38.011000	86	8	0	0
19:08:38.262000	87	9	0	0
19:08:38.514000	88	6	0	0
19:08:38.765000	89	6	0	0
19:08:39.016000	90	3	0	0
19:08:39.268000	91	1	0	0
19:08:39.519000	92	4	0	0
19:08:39.771000	93	1	0	0
19:08:40.022000	94	5	0	0
19:08:40.272000	95	1	0	0
19:08:40.523000	96	0	0	1001
19:08:40.774000	97	10	0	0
19:08:41.025000	98	1	0	0
19:08:41.276000	99	0	0	1001
19:08:41.528000	100	7	0	0
19:08:41.779000	101	6	0	0
19:08:42.031000	102	3	0	0
19:08:42.281000	103	8	0	0
19:08:42.532000	104	4	0	0
19:08:42.783000	105	0	0	1001
19:08:43.034000	106	9	0	0
19:08:43.285000	107	0	0	1000
19:08:43.536000	108	2	0	0
19:08:43.787000	109	4	0	0
19:08:44.038000	110	9	0	0
19:08:44.289000	111	4	0	0
19:08:44.541000	112	1	0	0
19:08:44.792000	113	9	0	0
19:08:45.043000	114	8	0	0
19:08:45.294000	115	0	0	1001
19:08:45.545000	116	6	0	0
19:08:45.796000	117	5	0	0
