system time	logical clock time	operation	queue size	received from
2016-03-12 02:56:52.864000	1	7	0	0
2016-03-12 02:56:53.199000	2	5	0	0
2016-03-12 02:56:53.535000	3	6	0	0
2016-03-12 02:56:53.873000	4	0	0	1027
2016-03-12 02:56:54.208000	5	0	0	1027
2016-03-12 02:56:54.542000	6	10	0	0
2016-03-12 02:56:54.876000	7	10	0	0
2016-03-12 02:56:55.211000	8	9	0	0
2016-03-12 02:56:55.544000	9	0	0	1025
2016-03-12 02:56:55.878000	10	9	0	0
2016-03-12 02:56:56.212000	11	0	0	1027
2016-03-12 02:56:56.547000	12	6	0	0
2016-03-12 02:56:56.881000	13	3	0	0
2016-03-12 02:56:57.214000	14	1	0	0
2016-03-12 02:56:57.549000	15	8	0	0
2016-03-12 02:56:57.882000	16	6	0	0
2016-03-12 02:56:58.216000	17	2	0	0
2016-03-12 02:56:58.550000	18	4	0	0
2016-03-12 02:56:58.884000	19	9	0	0
2016-03-12 02:56:59.218000	20	9	0	0
2016-03-12 02:56:59.552000	21	7	0	0
